id,text,anger,fear,joy,sadness,surprise
eng_train_track_b_00001,colorado middle of nowhere,0,1,0,0,1
eng_train_track_b_00002,this involved swimming a pretty large lake that was over my head,0,2,0,0,0
eng_train_track_b_00003,it was one of my most shameful experiences,0,1,0,3,0
eng_train_track_b_00004,after all i had vegetables coming out my ears all for the benefit of the young prince,0,0,0,0,0
eng_train_track_b_00005,then the screaming started,0,3,0,1,2
eng_train_track_b_00006,they dont fear death and it seems they believe in reincarnation,0,1,0,0,1
eng_train_track_b_00007,you know what happens when i get one of these stupid ideas in my head,1,1,0,0,0
eng_train_track_b_00008,my stomach even started giving me fits,0,2,0,1,0
eng_train_track_b_00009,well as were bowling my dinner began to not sit well with me and i had to run to the bathroom,0,2,0,0,0
eng_train_track_b_00010,hondas are notoriously great cars for long trips for their dependability and great gas mileage,0,0,2,0,0
eng_train_track_b_00011,its his reflection,0,0,0,0,1
eng_train_track_b_00012,not mine and not that horrible but i was browsing the personnel files last week and noticed that my boss birthday had occurred 3 days prior,0,0,0,0,1
eng_train_track_b_00013,i pushed standing up for a while and emerald crowned but got pretty tired and laid on the bed on my side while matthias held my leg up and thats how emerald came out,0,0,1,0,0
eng_train_track_b_00014,now my parents live in the foothills and the college is in a large valley,0,0,0,0,0
eng_train_track_b_00015,fortunately the kindly ajeoshis and ajummas that i rented the scooter from helped me get on a bus to the other ferry but not before pulling me up a seat to thier table and shoving succulant watermelon in my face,0,0,1,0,1
eng_train_track_b_00016,i remember being scared shitless,0,3,0,0,0
eng_train_track_b_00017,that was the last time anyone saw her,0,2,0,3,0
eng_train_track_b_00018,the stone inside my heart was removed,0,0,2,0,0
eng_train_track_b_00019,not only was i not able to move i smacked my head against the guy sitting in front me and things just got awkward,1,1,0,0,0
eng_train_track_b_00020,i didnt see any light yet it still seemed to glow,0,2,0,0,2
eng_train_track_b_00021,i unwrapped the candy and popped it into my mouth,0,0,1,0,0
eng_train_track_b_00022,remember the farmette,0,0,1,0,1
eng_train_track_b_00023,i took offense to this because as a supervisor i wanted my team to be in good spirits and wanted them to love coming in to work and doing good things for the mission,1,0,0,0,0
eng_train_track_b_00024,she awoke from this odd dream and told her mum to wake up her sister,0,1,0,0,1
eng_train_track_b_00025,it broke my heart and nearly ruined me,0,1,0,3,0
eng_train_track_b_00026,ri get home and park just when i think everything is about to turn around i slip on the ice and fall flat on my back,0,2,0,0,2
eng_train_track_b_00027,she said that i shouldnt do anything with my finger not even type,0,1,0,0,0
eng_train_track_b_00028,it definitely makes my hand feel weird and i havent thrown up yet,0,2,0,0,0
eng_train_track_b_00029,now when i have too much to do my brain just gets distracted by all the other jobs jostling for attention,0,1,0,0,0
eng_train_track_b_00030,i expect them to come in the backdoor any second but i hear nothing,0,2,0,0,1
eng_train_track_b_00031,the rattling in my brain clogs my nose,0,1,0,1,0
eng_train_track_b_00032,i had to turn my head back into the stream of water just so i didnt burst out laughing and lose it right there,0,0,2,0,0
eng_train_track_b_00033,so when the laughing fit stopped back to my seat i went with a big ole smile across my face,0,0,2,0,0
eng_train_track_b_00034,i lost the towel,0,1,0,0,0
eng_train_track_b_00035,sets the powerentity free,0,1,1,0,1
eng_train_track_b_00036,this is causing some of the puffiness in his face and sometimes causes a severe headache,0,2,0,1,0
eng_train_track_b_00037,there was apparently then some awkward laughter and apologies and my grandpa and his friends were dismissed,1,1,0,1,1
eng_train_track_b_00038,i dont stop,0,1,0,0,0
eng_train_track_b_00039,i got lie after lie,3,2,0,2,0
eng_train_track_b_00040,after scratching my head i headed to the front yard where there are no trees on the off chance that something truly weird had caused a limb to plop down on my house,0,1,0,0,1
eng_train_track_b_00041,and i got ta tell you right here folks that brings a tear to my eye,0,0,1,1,0
eng_train_track_b_00042,im feeling my eyes drift a bit so i guess i better attempt to try to go to sleep i have to go to my moms work at 7 to help her out,0,1,0,1,0
eng_train_track_b_00043,ive never met any of the other members but we all send each other xmas cards amp random stuff,0,0,1,0,1
eng_train_track_b_00044,the last week ive gone to bed at 7 every morning with house music blasting in my ear and have woken up with only an appetite for more,0,0,2,0,0
eng_train_track_b_00045,it was one of the most spiritual moments of my life,0,0,3,0,1
eng_train_track_b_00046,i definitely ended up with a plastic burn on my elbow,0,1,0,0,0
eng_train_track_b_00047,as i started to jog easily to the starting line my leg felt a little stiff and my shin was hurting a bit,0,1,0,1,0
eng_train_track_b_00048,i asked if anyone else just saw that and right on queue my best friend says that hand just reach out of the entertainment center,0,2,0,0,3
eng_train_track_b_00049,i started to grip my sheets barely breathing as my mind raced and my eyes focused not physically seeing anything out of the ordinary as the sirens wailed outside my apartment the 35th floor should have been enough distance to drown out the sound but it wasnt and i shut my eyes leaping to the lightswitch,0,3,0,0,0
eng_train_track_b_00050,i had a chocolate and got up my nerve to ask about the games,0,1,1,0,0
eng_train_track_b_00051,painted on my face,0,0,0,0,0
eng_train_track_b_00052,nothing behind me either,0,2,0,0,1
eng_train_track_b_00053,it felt so unreal,0,2,0,0,2
eng_train_track_b_00054,she left the room and went downstairs,0,0,0,0,0
eng_train_track_b_00055,all of it on top of my head,0,1,0,0,0
eng_train_track_b_00056,i went into the closet to investigate and found nothing chills,0,3,0,0,1
eng_train_track_b_00057,im trying to work and accomplish things and train this other guy on how to help me with my job and i cant even move my head for fear of puking on my desk,0,3,0,0,0
eng_train_track_b_00058,break my heart a thousand times and i realized that sometimes it really still hurts,0,0,0,3,0
eng_train_track_b_00059,ah to close my eyes and let time fly by because theres so much to gain by forgetting these dreams driving me insane,0,2,0,1,0
eng_train_track_b_00060,and then we have the ultimately retarded spanish lesson which i kind of like because its so entertainingly bad and incredible which just flatout gets on my nerves,2,0,0,0,0
eng_train_track_b_00061,i chanted in my head,0,0,0,0,0
eng_train_track_b_00062,back to earth as i opened my eye i was lying back on a hospital bed with my right leg elevated cupped in the hands of the young indian doctor who had been trying to save my life,0,2,0,2,0
eng_train_track_b_00063,this expert also was the exhusband of the murdered woman,0,2,0,1,2
eng_train_track_b_00064,i did manage to remember to hang out the washing but only because the annoying beeping sound the washer makes when its finished a cycle finally filtered into my brain and started to irritate me enough that i couldnt ignore it any longer,1,1,0,0,0
eng_train_track_b_00065,it cut through all the fear and anger in my brain,2,2,0,0,0
eng_train_track_b_00066,back in 2006 when i was in high school i took earth sciences and in the spring i was on my teachers computer when i came across a photo of me giving the thumbs up,0,0,1,0,1
eng_train_track_b_00067,but occasionally my nerves still do get the best of me and i start to flop around in the breathless panic of a fish pulled out of water and tossed onto the floor to die helplessly,0,3,0,0,0
eng_train_track_b_00068,the effect was a feeling ive described as running my hand along a cheese grater,0,2,0,3,0
eng_train_track_b_00069,asked a flustered girl that bumped into my arm,0,1,0,0,0
eng_train_track_b_00070,a sharp stinging stripe across the backs of my legs,0,2,0,1,0
eng_train_track_b_00071,i really have to watch my mouth,0,0,0,0,0
eng_train_track_b_00072,the redmond cycling club that organizes this event had madetoorder coldcut sandwiches and be still my heart icecold cans of cocacola at the final aid station,0,0,2,0,0
eng_train_track_b_00073,i was walking around cursing the day in my head,2,1,0,1,0
eng_train_track_b_00074,i shook my head and willed every broken hearted thought to go away,0,0,0,3,0
eng_train_track_b_00075,i hope whatever i did do today the two paper 2s adn the reading of the ntoes adn the definitaions i recited stick in my head and i do nt forget anything sigh,0,2,0,1,0
eng_train_track_b_00076,about 3 years ago i had a very vivid dream about my deceased aunt and uncle sylvia amp john,0,0,0,2,1
eng_train_track_b_00077,it could have been my eye but my glasses probably blocked that from happening and diverted the injury higher up on my head,0,2,0,0,1
eng_train_track_b_00078,i went to put my hand in my pockets and realised what theyd done,0,1,0,0,0
eng_train_track_b_00079,but my heart pounded in my chest and i couldnt breath couldnt even look at him,0,2,0,0,0
eng_train_track_b_00080,i was never so happy to have my feet on solid ground though,0,0,2,0,0
eng_train_track_b_00081,they dont seem to be evil or dangerous,0,1,0,0,0
eng_train_track_b_00082,i always like to head out into the boonies after i have been away for a long time to get my head straight,0,0,1,0,0
eng_train_track_b_00083,sage grabbed my toothbrush this morning and showed me how to brush my teeth,0,0,0,0,0
eng_train_track_b_00084,i trust this man even less than the woman but i cant put my finger on it,0,1,0,0,0
eng_train_track_b_00085,i guess i pointed to jenny without hesitation,0,0,0,0,0
eng_train_track_b_00086,we locked our door and kept our lights on the whole night and just watched movies until dawn,0,2,0,0,0
eng_train_track_b_00087,just doing something this stupid as a kid,0,0,0,1,0
eng_train_track_b_00088,fishin i woke up in the morning my head was throbing black and blue eyed thought id died smashed up my tv set,0,2,0,2,1
eng_train_track_b_00089,it was as if everything was silent for just a second,0,1,0,0,1
eng_train_track_b_00090,i filled it out and tried to stay calm but my legs were still shaking,0,2,0,0,0
eng_train_track_b_00091,the man told her that he had and she said well i might as well tell you the story,0,0,0,0,1
eng_train_track_b_00092,first some background i am a male i live in latvia my father is a hunter and we occasionally go hunting during the weekends,0,0,0,0,0
eng_train_track_b_00093,needless to say i turned her down,0,0,0,0,0
